time,left_arm_0_joint,left_arm_1_joint,left_arm_2_joint,left_arm_3_joint,left_arm_4_joint,left_arm_5_joint,left_arm_6_joint,left_hand_synergy_joint,right_arm_0_joint,right_arm_1_joint,right_arm_2_joint,right_arm_3_joint,right_arm_4_joint,right_arm_5_joint,right_arm_6_joint,right_hand_synergy_joint,head_neck_pitch_joint,head_neck_roll_joint,head_neck_yaw_joint,head_head_tilt_joint,head_eyes_tilt_joint,head_left_eye_joint,head_right_eye_joint
0.000353,-1.29552447796,0.885644853115,1.83746039867,-0.532977640629,1.53587830067,-0.902638435364,-2.44638729095,0.0398823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.033473,-1.29552447796,0.885644853115,1.83746039867,-0.532977640629,1.53587830067,-0.902638435364,-2.44638729095,0.0398823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.066793,-1.29552447796,0.885644853115,1.83746039867,-0.532977640629,1.53587830067,-0.902638435364,-2.44638729095,0.0398823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.100110,-1.29552447796,0.885644853115,1.83746039867,-0.532977640629,1.53587830067,-0.902638435364,-2.44638729095,0.0398823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.133414,-1.29552447796,0.885644853115,1.83746039867,-0.532977640629,1.53587830067,-0.902638435364,-2.44638729095,0.0398823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.166809,-1.29552447796,0.885644853115,1.83746039867,-0.532977640629,1.53587830067,-0.902638435364,-2.44638729095,0.0398823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.200114,-1.29552447796,0.885644853115,1.83746039867,-0.532977640629,1.53587830067,-0.902638435364,-2.44638729095,0.0398823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.233451,-1.29552447796,0.885644853115,1.83746039867,-0.532977640629,1.53587830067,-0.902638435364,-2.44638729095,0.0398823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.266817,-1.29552447796,0.885644853115,1.83746039867,-0.532977640629,1.53587830067,-0.902638435364,-2.44638729095,0.0398823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.300220,-1.29552447796,0.885644853115,1.83746039867,-0.532977640629,1.53587830067,-0.902638435364,-2.44638729095,0.0398823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.333445,-1.29552447796,0.885644853115,1.83746039867,-0.532977640629,1.53587830067,-0.902638435364,-2.44638729095,0.0398823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.366823,-1.29552447796,0.885644853115,1.83746039867,-0.532977640629,1.53587830067,-0.902638435364,-2.44638729095,0.0398823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.400116,-1.29552447796,0.885644853115,1.83746039867,-0.532977640629,1.53587830067,-0.902638435364,-2.44638729095,0.0398823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.433583,-1.29552447796,0.885644853115,1.83746039867,-0.532977640629,1.53587830067,-0.902638435364,-2.44638729095,0.0398823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.466844,-1.29552447796,0.885644853115,1.83746039867,-0.532977640629,1.53587830067,-0.902638435364,-2.44638729095,0.0398823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.500181,-1.29552447796,0.885644853115,1.83746039867,-0.532977640629,1.53587830067,-0.902638435364,-2.44638729095,0.0398823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
