time,left_arm_0_joint,left_arm_1_joint,left_arm_2_joint,left_arm_3_joint,left_arm_4_joint,left_arm_5_joint,left_arm_6_joint,left_hand_synergy_joint,right_arm_0_joint,right_arm_1_joint,right_arm_2_joint,right_arm_3_joint,right_arm_4_joint,right_arm_5_joint,right_arm_6_joint,right_hand_synergy_joint,head_neck_pitch_joint,head_neck_roll_joint,head_neck_yaw_joint,head_head_tilt_joint,head_eyes_tilt_joint,head_left_eye_joint,head_right_eye_joint
0.000139,-1.53367507458,0.887332320213,1.48002886772,-0.565164446831,2.74571180344,-1.29950630665,1.4688321352,0.0757647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.033551,-1.53367507458,0.887332320213,1.48002886772,-0.565164446831,2.74571180344,-1.29950630665,1.4688321352,0.0757647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.066891,-1.53367507458,0.887332320213,1.48002886772,-0.565164446831,2.74571180344,-1.29950630665,1.4688321352,0.0757647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.100150,-1.53367507458,0.887332320213,1.48002886772,-0.565164446831,2.74571180344,-1.29950630665,1.4688321352,0.0757647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.133457,-1.53367507458,0.887332320213,1.48002886772,-0.565164446831,2.74571180344,-1.29950630665,1.4688321352,0.0757647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.166826,-1.53367507458,0.887332320213,1.48002886772,-0.565164446831,2.74571180344,-1.29950630665,1.4688321352,0.0757647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.200257,-1.53367507458,0.887332320213,1.48002886772,-0.565164446831,2.74571180344,-1.29950630665,1.4688321352,0.0757647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.233502,-1.53367507458,0.887332320213,1.48002886772,-0.565164446831,2.74571180344,-1.29950630665,1.4688321352,0.0757647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.266898,-1.53367507458,0.887332320213,1.48002886772,-0.565164446831,2.74571180344,-1.29950630665,1.4688321352,0.0757647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.300118,-1.53367507458,0.887332320213,1.48002886772,-0.565164446831,2.74571180344,-1.29950630665,1.4688321352,0.0757647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.333447,-1.53367507458,0.887332320213,1.48002886772,-0.565164446831,2.74571180344,-1.29950630665,1.4688321352,0.0757647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.367025,-1.53367507458,0.887332320213,1.48002886772,-0.565164446831,2.74571180344,-1.29950630665,1.4688321352,0.0757647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.400170,-1.53367507458,0.887332320213,1.48002886772,-0.565164446831,2.74571180344,-1.29950630665,1.4688321352,0.0757647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.433507,-1.53367507458,0.887332320213,1.48002886772,-0.565164446831,2.74571180344,-1.29950630665,1.4688321352,0.0757647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
